datetime,open,high,low,close,volume
2011-05-20,1.06635,1.071,1.06095,1.0663200000000000,0
2011-05-23,1.06455,1.06493,1.0478300000000000,1.0510700000000000,0
2011-05-24,1.05102,1.05824,1.04788,1.0554300000000000,0
2011-05-25,1.05552,1.05606,1.04399,1.05237,0
2011-05-26,1.0524,1.0648,1.0508900000000000,1.0632700000000000,0
2011-05-27,1.0632700000000000,1.0718,1.0608,1.07049,0
2011-05-30,1.07146,1.0715,1.06749,1.0686800000000000,0
2011-05-31,1.0686800000000000,1.07559,1.06425,1.06564,0
2011-06-01,1.06561,1.07521,1.0592700000000000,1.06128,0
2011-06-02,1.0611900000000000,1.0687200000000000,1.05865,1.06716,0
2011-06-03,1.06715,1.07734,1.05944,1.0713700000000000,0
2011-06-06,1.07302,1.0767,1.06911,1.07266,0
2011-06-07,1.07266,1.07491,1.06712,1.0716300000000000,0
2011-06-08,1.07162,1.0722200000000000,1.05885,1.06274,0
2011-06-09,1.06271,1.06615,1.05623,1.06255,0
2011-06-10,1.06253,1.0650900000000000,1.05259,1.0535,0
2011-06-13,1.0527800000000000,1.06358,1.05224,1.061,0
2011-06-14,1.0609900000000000,1.07145,1.05675,1.0679100000000000,0
2011-06-15,1.0679100000000000,1.07124,1.0534300000000000,1.05574,0
2011-06-16,1.0558100000000000,1.05895,1.04774,1.05613,0
2011-06-17,1.05619,1.06341,1.0505200000000000,1.05988,0
2011-06-20,1.05982,1.0616,1.04962,1.05772,0
2011-06-21,1.0577,1.06189,1.05311,1.05969,0
2011-06-22,1.05962,1.06494,1.0563,1.05685,0
2011-06-23,1.05685,1.05705,1.04546,1.05325,0
2011-06-24,1.05331,1.05998,1.04846,1.04885,0
2011-06-27,1.04835,1.04869,1.03902,1.0452300000000000,0
2011-06-28,1.04521,1.0542800000000000,1.04354,1.05359,0
2011-06-29,1.05358,1.0684800000000000,1.0518400000000000,1.0670900000000000,0
2011-06-30,1.06695,1.07495,1.06682,1.0707,0
2011-07-01,1.0708600000000000,1.07885,1.0672700000000000,1.07676,0
2011-07-04,1.077,1.07846,1.07118,1.07415,0
2011-07-05,1.07419,1.07461,1.06636,1.06828,0
2011-07-06,1.06831,1.0732900000000000,1.0654,1.06952,0
2011-07-07,1.06956,1.07786,1.06854,1.0770600000000000,0
2011-07-08,1.0770600000000000,1.07879,1.07035,1.0753,0
2011-07-11,1.072,1.07311,1.06311,1.06566,0
2011-07-12,1.06566,1.06636,1.0525,1.05913,0
2011-07-13,1.0590900000000000,1.07975,1.05782,1.0774,0
2011-07-14,1.07734,1.07847,1.06931,1.07206,0
2011-07-15,1.0719100000000000,1.0744800000000000,1.06187,1.0650700000000000,0
2011-07-18,1.0637,1.0654300000000000,1.0560100000000000,1.06057,0
2011-07-19,1.06067,1.07407,1.0603,1.0723,0
